"plotId","Grain_yield","Days_to_flowering","Days_to_maturity","SDWT_100Wgh_g"
"8T3QPae3554c3","126.333336","44.333332","103.0","16.386667"
"8T3QP38862453","85.666664","44.333332","103.666664","22.546667"
"8T3QP9241b663","169.0","44.333332","102.333336","19.716665"
"8T3QPb5e2086e","140.0","35.333332","104.333336","24.376665"
"8T3QPefc41717","133.33333","32.666668","101.666664","27.123335"
"8T3QP87b2497f","46.666668","32.666668","101.666664","17.67"
"8T3QP01fea6d3","102.0","34.666668","104.0","24.993334"
"8T3QPcffcf21d","99.0","33.0","101.333336","21.130001"
"8T3QP24fdfe19","135.66667","41.666668","102.333336","17.576666"
"8T3QPa9001b4f","104.666664","32.333332","101.0","29.99"
"8T3QP3552f935","86.666664","32.0","101.0","16.126665"
"8T3QPa1ac243a","126.333336","44.666668","103.666664","20.133333"
"8T3QP994a161b","138.0","33.0","101.333336","32.366665"
"8T3QP30547243","103.666664","39.666668","102.0","20.696665"
"8T3QPb04e653b","119.333336","43.0","103.0","31.606667"
"8T3QP9ec23de1","124.333336","33.0","101.666664","33.106663"
"8T3QP842194ba","165.33333","43.0","106.666664","20.056665"
"8T3QP192dedbf","155.66667","44.666668","102.333336","21.366667"
"8T3QP872bf658","72.0","31.666666","100.333336","31.913336"
"8T3QP749eddba","64.666664","34.0","102.666664","18.166666"
"8T3QP11c28a6d","133.33333","43.666668","103.333336","21.4"
"8T3QP309dbb90","125.666664","41.333332","102.0","21.403334"
"8T3QP3725d088","123.333336","36.0","103.666664","34.666668"
"8T3QPbf1ba9e4","108.666664","40.0","100.666664","19.006666"
"8T3QP46d46f2b","125.666664","42.666668","102.0","20.923334"
"8T3QP40783314","135.33333","33.333332","102.666664","31.310003"
"8T3QP4858a96f","106.666664","44.666668","103.333336","20.533333"
"8T3QPf807318b","80.333336","43.666668","103.666664","19.76"
"8T3QP54dd3fb0","152.66667","41.0","100.666664","17.67"
"8T3QPbcb8ab4a","88.0","44.0","105.333336","17.843332"
"8T3QPf4d37482","154.66667","39.333332","106.0","17.156666"
"8T3QPe1efb369","87.0","42.666668","102.0","17.783333"
"8T3QP56305d68","64.666664","40.666668","102.0","18.796667"
"8T3QP99f689ba","83.666664","43.333332","102.333336","15.7699995"
"8T3QPecb4ead3","108.666664","42.333332","102.0","22.433334"
"8T3QPce70685d","146.66667","43.666668","102.333336","16.67"
"8T3QP90aecf62","115.0","41.333332","102.333336","20.956667"
"8T3QP0532ba52","144.66667","38.666668","104.0","24.533335"
"8T3QPa8a78b08","71.666664","42.666668","105.0","25.746666"
"8T3QP0d0d864e","86.0","38.0","102.666664","25.583334"
"8T3QP04f79253","105.0","38.666668","105.0","25.32"
"8T3QPa7dd9d3e","97.333336","36.666668","103.666664","30.800001"
"8T3QPc691163d","139.33333","33.333332","102.333336","28.74"
"8T3QP4f124837","102.666664","35.0","105.333336","35.286667"
"8T3QPbb95ca5e","76.666664","35.0","103.0","29.320002"
"8T3QPfc9f515d","71.0","33.333332","103.0","30.616667"
"8T3QPec097021","141.33333","38.666668","102.333336","24.196669"
"8T3QPcd54f4cb","85.0","34.0","99.0","26.803335"
"8T3QPb4b1c05a","147.66667","48.0","106.666664","21.160002"
"8T3QP97998818","91.333336","33.0","102.0","24.926666"
"8T3QP582feda2","105.333336","33.666668","102.333336","31.493332"
"8T3QP46d58744","136.66667","48.666668","106.333336","24.963333"
"8T3QP768272ae","125.0","34.0","102.0","34.906666"
"8T3QPc4d381b1","144.66667","32.666668","101.0","27.586668"
"8T3QP73d829fd","61.333332","58.0","110.0","24.373331"
"8T3QP55a20052","70.333336","35.333332","104.0","13.790001"
"8T3QPb785d2f8","96.333336","48.0","104.666664","13.7699995"
"8T3QP6d975164","93.0","32.666668","100.0","38.100002"
"8T3QP634c797d","151.33333","32.0","100.0","34.333332"
"8T3QPf2299a43","162.66667","32.666668","101.333336","32.006668"
"8T3QP13257a29","161.66667","34.0","102.0","28.636667"
"8T3QPd8699279","122.333336","32.666668","101.0","28.633333"
"8T3QPf6c7c844","102.333336","34.666668","106.0","29.826666"
"8T3QP8a5dc0b9","120.333336","33.0","102.333336","33.693333"
"8T3QP290969db","98.333336","34.0","102.0","28.493334"
"8T3QP1dea40fd","116.333336","37.333332","104.0","34.31333"
"8T3QPf1a09c91","82.666664","32.666668","103.333336","42.77"
